image_raw,category,subcategory,name,sku,price_without_vat,price_with_vat,unit,description,package_info,image_filename,image_url,is_active,is_popular,sort_order,notes
1.png,Перчатки,Перчатки,"Перчатки х/б белые с ПВХ-точкой, 4 нити / 10 класс",GLV-001,75,84,пара,"Белые х/б перчатки с синей ПВХ-точкой на ладони и пальцах. Подходят для склада, погрузки, упаковки, хозяйственных и производственных работ. Точечное покрытие улучшает сцепление с поверхностью.",В мешке 600 пар,perchatki-hb-belye-pvh-tochka-4-niti-10-klass.webp,,true,true,1,Цена и фасовка сопоставлены по позиции 75тг 4нить/10класс
2.png,Перчатки,Перчатки,Перчатки х/б чёрные с ПВХ-точкой,GLV-002,100,112,пара,"Чёрные х/б перчатки с синей ПВХ-точкой. Используются для складских, хозяйственных, погрузочных и производственных работ. Точечное покрытие помогает лучше удерживать предметы.",В мешке 300 пар,perchatki-hb-chernye-pvh-tochka.webp,,true,false,2,"Сопоставление по фото среднее, уточнить у клиента"
3.png,Перчатки,Прорезиненные перчатки,Перчатки белые с чёрным покрытием WELLSTRONG,GLV-003,95,106.4,пара,"Рабочие перчатки с белой трикотажной основой и чёрным покрытием ладони и пальцев. Подходят для склада, стройки, погрузки и технических работ. Покрытие защищает ладонь от загрязнений и улучшает хват.",В мешке 960 пар,perchatki-belye-chernoe-pokrytie-wellstrong.webp,,true,true,3,На фото маркировка WELLSTRONG EN388
4.png,Перчатки,Прорезиненные перчатки,Перчатки серые с чёрным покрытием 300#,GLV-004,95,106.4,пара,"Серые рабочие перчатки с чёрным покрытием ладони и пальцев. Подходят для строительных, складских, погрузочных и хозяйственных работ. Покрытие защищает руки и улучшает сцепление.",В мешке 960 пар,perchatki-serye-chernoe-pokrytie-300.webp,,true,true,4,"Сопоставление по фото среднее, есть маркировка 300#"
5.png,Перчатки,Прорезиненные перчатки,Перчатки зелёные с чёрным покрытием RAMBO 10,GLV-005,190,212.8,пара,"Рабочие перчатки с зелёной текстильной основой и чёрным покрытием ладони. Подходят для склада, строительства, погрузки и работ, где нужен уверенный хват.",В мешке 600 пар,perchatki-zelenye-chernoe-pokrytie-rambo-10.webp,,true,false,5,На фото маркировка RAMBO 10
6.png,Перчатки,Прорезиненные перчатки,Перчатки салатовые с чёрным рельефным покрытием,GLV-006,100,112,пара,"Перчатки с салатовой основой и чёрным рельефным покрытием ладони. Подходят для строительных, складских и погрузочных работ. Рельефное покрытие улучшает сцепление с предметами.",В мешке 960 пар,perchatki-salatovye-chernoe-relefnoe-pokrytie.webp,,true,false,6,Сопоставление по фото среднее
7.png,Перчатки,Прорезиненные перчатки,Перчатки фиолетовые с чёрным рельефным покрытием 300#,GLV-007,95,106.4,пара,"Фиолетовые рабочие перчатки с салатовыми полосами и чёрным рельефным покрытием ладони. Используются для склада, стройки, погрузки и хозяйственных работ. Покрытие помогает удерживать предметы.",В мешке 960 пар,perchatki-fioletovye-chernoe-relefnoe-pokrytie-300.webp,,true,false,7,Есть маркировка 300#
8.png,Перчатки,Прорезиненные перчатки,Перчатки фиолетовые с чёрным гладким покрытием,GLV-008,90,100.8,пара,"Рабочие перчатки с фиолетовой текстильной основой и чёрным гладким покрытием ладони и пальцев. Подходят для складских, строительных, погрузочных и производственных задач.",В мешке 960 пар,perchatki-fioletovye-chernoe-gladkoe-pokrytie.webp,,true,false,8,Сопоставление по фото среднее
9.png,Перчатки,Прорезиненные перчатки,Перчатки серо-красные с чёрным покрытием,GLV-009,85,95.2,пара,"Серо-красные рабочие перчатки с чёрным покрытием ладони. Подходят для склада, стройки, производства, погрузки и хозяйственных работ. Покрытие защищает ладонь и улучшает хват.",В мешке 960 пар,perchatki-sero-krasnye-chernoe-pokrytie.webp,,true,false,9,Совпадает с позицией 85тг
10.png,Перчатки,Прорезиненные перчатки,Перчатки голубые с жёлтым покрытием A688-1,GLV-010,150,168,пара,"Перчатки с голубой текстильной основой и жёлтым покрытием ладони. Подходят для складских, строительных, погрузочных и хозяйственных работ. Покрытие улучшает сцепление и защищает ладонь.",В мешке 960 пар,perchatki-golubye-zheltoe-pokrytie-a688-1.webp,,true,false,10,"На фото маркировка A688-1, цена сопоставлена по похожей позиции"
